  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      126        3.204        4.866            0      345.260       65.628       99.717
      127        2.870        5.210            0      350.627       62.228       97.319
      128        2.631        5.310            0      350.419       83.337       99.966
      129        3.034        5.082            0      349.587       99.994       97.176
      130        3.347        4.812            0      346.182       80.472       98.199
      131        3.631        4.795            0      344.035       62.809       99.107
      132        3.397        4.844            0      341.169       81.678       98.008
      133        3.374        4.767            0      343.741       56.837       97.054
      134        3.926        4.537            0      342.071       86.339       95.676
      135        4.872        3.820            0      309.297       83.045       79.375
      136        4.542        3.760            0      310.212       81.374       76.590
      137        4.700        3.729            0      310.720       46.545       81.942
      138        4.582        3.947            0      320.785       61.144       80.784
      139        4.715        3.806            0      320.211       71.336       69.921
      140        5.006        3.691            0      308.408       85.009       70.811
      141        4.913        3.868            0      313.722      103.886       75.730
      142        4.556        4.129            0      317.619      124.694       76.003
      143        4.440        4.086            0      338.316       93.659       77.393
      144        4.351        4.054            0      323.899       99.178       79.178
      145        4.229        4.188            0      331.741       77.838       85.316
      146        4.847        3.924            0      317.732       94.021       76.709
      147        3.406        4.753            0      338.258       82.780       94.434
      148        4.121        4.522            0      331.646       68.948       99.177
      149        3.529        4.828            0      333.887       65.210       96.247
      150        3.752        4.703            0      329.856       50.129       97.132
      151        3.760        4.673            0      333.811       72.545       97.615
      152        4.034        4.425            0      329.722       74.077       96.584
      153        4.030        4.359            0      330.963       69.184       96.526
      154        4.177        4.305            0      328.513       56.772       96.131
      155        4.020        4.366            0      334.318       56.666       95.600
      156        3.882        4.508            0      331.283       63.494       94.743
      157        4.036        4.390            0      333.182       63.701       96.985
      158        4.109        4.404            0      333.428       66.079       97.540
      159        4.115        4.388            0      331.104       50.237       98.137
      160        4.037        4.483            0      326.364       79.222       95.865
      161        3.865        4.491            0      326.939       76.616       96.020
      162        3.970        4.463            0      326.264       75.040       97.039
      163        4.203        4.311            0      324.590       63.424       98.141
      164        4.247        4.170            0      327.859       40.742       96.481
      165        3.956        4.420            0      324.800       53.557       94.190
      166        4.455        4.252            0      328.362       53.068       97.262
      167        4.149        4.210            0      320.156       45.272       95.449
      168        4.292        4.312            0      321.628       49.740       99.824
      169        4.167        4.305            0      321.833       52.076       98.790
      170        4.176        4.255            0      327.700       44.681       97.894
      171        4.358        4.174            0      328.915       45.151       97.224
      172        3.833        4.593            0      344.198       26.284       97.882
      173        3.866        4.480            0      337.746       22.342       98.224
      174        3.806        4.563            0      339.181       18.930       97.495
      175        4.189        4.463            0      344.184       39.176       95.537
      176        3.947        4.545            0      334.293       35.356       97.978
      177        3.758        4.574            0      337.470       45.074       97.684
      178        4.149        4.400            0      326.150       23.565       99.136
      179        3.775        4.643            0      347.330       20.466       97.896
      180        3.940        4.418            0      345.922        6.480       97.938
      181        4.190        4.323            0      333.627       20.758       98.314
      182        3.883        4.302            0      331.901        8.971       98.687
